name,apparent magnitude,latitude,longitude,x,y,z,r,g,b
,6.28,-0.7730161170053922,-3.1402051168344576,58.243094,0.080879,-56.818381,1.0,0.9316,0.8557899999999999
,6.43,0.4698096130074258,-3.1398548292535824,66.54131,0.115654,33.784832,1.0,0.9648,0.9523649586776859
,6.18,1.0395124999809238,-3.139343011450435,69.024292,0.155048,117.45989,1.0,0.8957333333333333,0.7629738842975207
,6.49,-0.9267299171289959,-3.139096920025904,35.677374,0.089097,-47.513999,1.0,0.9512,0.9115649586776859
,6.36,0.7898196758046957,-3.1384199068090552,132.325125,0.419892,133.501154,0.784955625,0.839655625,0.0
,5.71,-0.8518930436901598,-3.1368957107732887,119.736878,0.562356,-136.823418,1.0,0.9118666666666666,0.8032438842975206
,6.22,0.8723427523765119,-3.1358296636661707,128.347884,0.73972,152.861641,1.0,0.904,0.783305785123967
,5.53,-0.8785528956544956,-3.1357663082143232,106.198875,0.618768,-128.089244,1.0,0.8192968749999999,0.5890134297520662
,4.78,-1.3450506242332145,-3.134624601084131,14.902031,0.103716,-64.888859,1.0,0.8661333333333333,0.6953831404958678
,5.58,1.068539454743277,-3.134537421887994,454.144163,3.204116,826.885007,1.0,0.9790666666666666,0.9970131404958679
,6.5,1.2847690811710177,-3.1343677758847,19.96712,0.144423,67.896054,0.90735,0.92005,0.0
,6.25,0.7394461574665605,-3.1340405266499514,276.711822,2.089808,252.388978,0.7885525,0.8427524999999999,0.0
,5.13,-0.05283991291729841,-3.1336334286019234,139.077212,1.106982,-7.355907,0.7310399999999999,0.7938399999999999,0.0
,4.37,-0.10496535785200041,-3.133039143991619,131.716394,1.126662,-13.877167,1.0,0.816996875,0.5768150826446281
,5.8,0.4726745360679894,-3.13213148551412,10.834733,0.102555,5.540428,1.0,0.9413333333333334,0.8830413223140496
,5.04,-0.5187190793558181,-3.1314172967842033,133.807455,1.36158,-76.389577,0.7178125,0.7828124999999999,0.0
,6.33,0.15632606932164858,-3.1311086353059885,121.345487,1.272247,19.126563,0.90735,0.92005,0.0
,5.7,0.14809926790615557,-3.1307059878475534,36.494389,0.397318,5.44498,0.9638749999999999,0.956625,0.0
,5.87,1.1536445888637863,-3.1302418175329856,40513.198308,459.88359,91424.664275,1.0,0.8902666666666667,0.7498776033057851
,6.25,-0.3498666423662659,-3.1286856819719073,57.451984,0.741591,-20.964675,1.0,0.9632,0.9474757024793388
,6.46,-0.42141227862144626,-3.1279316997350457,185.830563,2.53883,-83.309585,1.0,0.8765333333333334,0.7182029752066117
,6.24,1.1107366116813018,-3.126632651172786,338.894446,5.070187,683.988975,0.9711,0.9613,0.0
,4.55,-0.30257006968622674,-3.1252746977482726,79.670013,1.300177,-24.872663,0.784955625,0.839655625,0.0
,6.31,1.164347244542988,-3.1247479573800203,105.131447,1.771134,244.290098,1.0,0.817371875,0.578426652892562
,5.9,1.0871248201759414,-3.1231457451266897,46495.3549,857.790357,88529.351835,0.94645,0.94535,0.0
,5.78,-0.28848610038067346,-3.122699900769268,86.89952,1.641967,-25.793323,1.0,0.8888,0.7464112396694215
,6.38,-0.5108373120801518,-3.1226619398580366,108.886464,2.061556,-61.037283,0.83255,0.87165,0.0
,4.99,-0.18342577916407202,-3.1219490601250595,630.150175,12.379991,-116.922329,1.0,0.8188718749999999,0.5861126033057851
,6.11,0.7346532389944888,-3.121478606625185,286.452905,5.762477,258.814588,0.897575,0.913725,0.0
,5.59,-1.2468089553383046,-3.121138005621658,55.839008,1.142475,-166.311133,0.74875,0.80875,0.0
,5.68,1.1722756121096827,-3.121092714327568,35.956698,0.73744,85.415532,1.0,0.8932,0.7568703305785125
,6.09,0.604927575722853,-3.1202368921288532,32.224052,0.688502,22.28464,1.0,0.9490666666666666,0.9053209917355372
,6.25,0.4651086733869342,-3.1200675079249467,178.713114,3.84753,89.703967,1.0,0.8509333333333333,0.66384
,6.47,0.4830161005782464,-3.1196899932077407,148.804386,3.259799,78.059251,1.0,0.9072,0.7913467768595043
,6.32,-0.008779617002769675,-3.1194980942564836,138.849775,3.068332,-1.219378,1.0,0.8868,0.7417166115702479
,5.8,1.0701306539690276,-3.1193294954507413,106.405975,2.369398,194.515247,0.770880625,0.827580625,0.0
,4.61,-0.09961672654609371,-3.1183113576315904,39.287997,0.914841,-3.927804,1.0,0.8961333333333333,0.7639430578512397
